127.0.0.1 - - [09/Apr/2018:15:08:45 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:08:54 +0800] "GET /baodanwang/login.jsp HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:08:54 +0800] "GET /baodanwang/fonts/font-awesome/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:09:05 +0800] "POST /baodanwang/login.action HTTP/1.1" 200 13014
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:09:06 +0800] "GET /baodanwang/undefined HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:15:15 +0800] "GET /baodanwang/img/jqueryui/ui-icons_454545_256x240.png HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:16:48 +0800] "GET /baodanwang/data/dataList.json?_=1523257746171 HTTP/1.1" 200 29255
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:16:49 +0800] "GET /baodanwang/img/superbox/superbox-full-24.jpg HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:17:53 +0800] "GET /baodanwang/sound/messagebox.mp3 HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:18:01 +0800] "GET /baodanwang/sound/messagebox.mp3 HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:35:39 +0800] "POST /baodanwang/dummy.html HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:37:49 +0800] "GET /baodanwang/sound/messagebox.mp3 HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "POST /baodanwang/login.action HTTP/1.1" 200 12954
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/css/smartadmin-production.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/css/smartadmin-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/css/smartadmin-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/css/smartadmin-production-plugins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/app.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/libs/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/notification/SmartNotification.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/smartwidgets/jarvis.widget.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/plugin/masked-input/jquery.maskedinput.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/libs/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/plugin/jquery-touch/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/plugin/bootstrap-slider/bootstrap-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/plugin/fastclick/fastclick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/plugin/msie-fix/jquery.mb.browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/img/avatars/sunny.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/plugin/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/js/app.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/img/mybg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/img/favicon/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:39:32 +0800] "GET /baodanwang/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "POST /baodanwang/login.action HTTP/1.1" 200 13135
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/css/smartadmin-production-plugins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/js/libs/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/css/smartadmin-production.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/css/smartadmin-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/css/smartadmin-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/js/libs/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/js/plugin/jquery-touch/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/js/notification/SmartNotification.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:15:46:13 +0800] "GET /baodanwang/js/app.config.js HTTP/1.1" 304 -
